code;network_line;network_station;stop_no;note;location_code
E38;EL;NHT;1;#NOPSD=2 #PTYPE_C;+3.ST.38
E01;EL;E01;2;#NOPSD=2 #PTYPE_C;+3.ST.01
E02;EL;E02;3;#NOPSD=2 #PTYPE_C;+3.ST.02
E03;EL;E03;4;#NOPSD=2 #PTYPE_C;+3.ST.03
E04;EL;E04;5;#NOPSD=2 #PTYPE_C;+3.ST.04
E05;EL;E05;6;#NOPSD=2 #PTYPE_C;+3.ST.05
E07;EL;E07;7;#NOPSD=3 #PTYPE_M;+3.ST.07
G11;GL;QS2;1;#NOPSD=2;+2.ST.11
G12;GL;QS1;2;#NOPSD=2;+2.ST.12
G13;GL;AFZ;3;#NOPSD=2;+2.ST.13
G14;GL;NJD;4;#NOPSD=2;+2.ST.14
G15;GL;STD;5;#NOPSD=2;+2.ST.15
G16;GL;QYD;6;#NOPSD=2;+2.ST.16
G17;GL;ABH;7;#NOPSD=2;+2.ST.17
G18;GL;ABS;8;#NOPSD=2;+2.ST.18
G19;GL;SDN;9;#NOPSD=2;+2.ST.19
G20;GL;USQ;10;#NOPSD=2;+2.ST.20
G21;GL;BSQ;11;#NOPSD=2;+2.ST.21
G22;GL;PMD;12;#NOPSD=2;+2.ST.22
G23;GL;RAS;13;#NOPSD=2;+2.ST.23
G24;GL;GUB;14;#NOPSD=2;+2.ST.24
G25;GL;KBW;15;#NOPSD=2;+2.ST.25
G26;GL;BUR;16;#NOPSD=2;+2.ST.26
G27;GL;ODM;17;#NOPSD=2;+2.ST.27
G28;GL;HCC;18;#NOPSD=2;+2.ST.28
G29;GL;JDF;19;#NOPSD=2;+2.ST.29
G30;GL;CRK;20;#NOPSD=2;+2.ST.30
R11;RL;RSH;1;#NOPSD=2;+1.ST.11
R12;RL;EMI;2;#NOPSD=2;+1.ST.12
R13;RL;AT3;3;#NOPSD=2;+1.ST.13
R14;RL;AT1;4;#NOPSD=2;+1.ST.14
R15;RL;GAR;5;#NOPSD=2;+1.ST.15
R16;RL;DCC;6;#NOPSD=2;+1.ST.16
R17;RL;RIG;7;#NOPSD=2;+1.ST.17
R18;RL;USQ;8;#NOPSD=2;+1.ST.18
R19;RL;BUR;9;#NOPSD=2;+1.ST.19
R20;RL;KAR;10;#NOPSD=2;+1.ST.20
R21;RL;JAF;11;#NOPSD=2;+1.ST.21
R22;RL;WTC;12;#NOPSD=2;+1.ST.22
R23;RL;EMT;13;#NOPSD=2;+1.ST.23
R24;RL;FIC;14;#NOPSD=2;+1.ST.24
R25;RL;BJD;15;#NOPSD=2;+1.ST.25
R26;RL;BSB;16;#NOPSD=2;+1.ST.26
R29;RL;QUZ;17;#NOPSD=2;+1.ST.29
R31;RL;BJA;18;#NOPSD=2;+1.ST.31
R32;RL;MOE;19;#NOPSD=2;+1.ST.32
R33;RL;BAR;20;#NOPSD=2;+1.ST.33
R34;RL;TEC;21;#NOPSD=4;+1.ST.34
R35;RL;NAK;22;#NOPSD=2;+1.ST.35
R36;RL;MAR;23;#NOPSD=2;+1.ST.36
R37;RL;JLT;24;#NOPSD=2;+1.ST.37
R38;RL;NHT;25;#NOPSD=2;+1.ST.38
R39;RL;IBB;26;#NOPSD=2;+1.ST.39
R40;RL;DBL;27;#NOPSD=2;+1.ST.40
R41;RL;JAI;28;#NOPSD=2;+1.ST.41
R42;RL;JBA;29;#NOPSD=2;+1.ST.42
